duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.000000,-3.000000,0.000000,0.000000,0.000000,-0.061750,0.079505,-0.039333,0.007502,0.500000,0.000000,0.000000,0.000000,-0.721854,0.831189,-0.393363,0.072930,0.500000,0.000000,0.000000,0.000000,-0.031879,0.035986,-0.016916,0.003125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-3.014077,-0.032961,-0.007908,0.023955,0.008346,-0.007958,0.004006,-0.000832,0.288901,-0.581142,-0.388156,0.109755,0.086189,-0.072934,0.027549,-0.004975,0.490317,-0.027204,-0.019520,0.003412,0.003699,-0.003171,0.001366,-0.000247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-3.027428,0.034897,0.077077,0.028767,-0.000467,0.001695,-0.003611,0.000728,-0.534813,-0.917638,0.037655,0.102017,-0.039377,0.013697,-0.003043,-0.000038,0.448652,-0.050601,-0.003499,0.005170,-0.000313,0.000229,-0.000089,0.000018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-2.888342,0.265391,0.138655,-0.002881,-0.020668,0.004777,0.001159,-0.000586,-1.341541,-0.643828,0.197961,0.019274,-0.017880,0.005194,0.000545,-0.000451,0.399567,-0.042604,0.011466,0.005060,0.000131,-0.000087,0.000098,-0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-2.502495,0.478121,0.058848,-0.035117,0.000091,0.000201,0.001380,-0.000253,-1.780726,-0.235521,0.199151,-0.005182,0.000489,0.001023,-0.001866,0.000404,0.373599,-0.004037,0.027364,0.005559,0.000052,0.000210,-0.000641,0.000131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-1.999224,0.498344,-0.028560,-0.013997,0.012941,-0.003057,-0.000809,0.000408,-1.822227,0.145938,0.177260,-0.016179,-0.008246,0.001714,0.000709,-0.000312,0.402237,0.065700,0.039597,-0.000357,-0.003918,0.000876,0.000285,-0.000134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-1.533953,0.433718,-0.027031,0.005315,-0.000181,-0.000559,0.000491,-0.000126,-1.521344,0.429578,0.100476,-0.028750,0.000053,0.000524,-0.000577,0.000168,0.504285,0.133301,0.025237,-0.006262,0.000044,0.000198,-0.000191,0.000052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-1.122325,0.394147,-0.013045,0.004406,-0.000025,0.000224,-0.000421,0.000088,-1.019873,0.544821,0.014647,-0.028969,-0.000110,-0.000663,0.001831,-0.000376,0.656663,0.165369,0.006915,-0.006111,-0.000012,-0.000149,0.000371,-0.000077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.736952,0.380379,-0.002216,0.001192,-0.002149,0.000471,0.000162,-0.000074,-0.488691,0.491809,-0.059976,-0.012572,0.010886,-0.002439,-0.000779,0.000367,0.822971,0.161769,-0.009013,-0.002898,0.002136,-0.000476,-0.000155,0.000072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.359187,0.373731,-0.005962,-0.002064,0.000029,0.000093,-0.000074,0.000018,-0.061395,0.363386,-0.060741,0.003849,-0.000149,-0.000470,0.000383,-0.000094,0.974406,0.140792,-0.010449,0.000329,-0.000028,-0.000093,0.000075,-0.000018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
