duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.000000,-2.498014,-0.124468,0.010245,0.000441,0.000002,-0.000002,-0.000002,-0.000001,-1.721757,0.069031,0.022739,0.000577,0.000004,0.000014,-0.000046,0.000008,0.220000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-2.611797,-0.102672,0.011515,0.000359,-0.000070,0.000038,-0.000062,0.000011,-1.629431,0.116105,0.024113,0.000098,-0.000329,0.000092,-0.000031,0.000000,0.220000,0.000001,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-2.702678,-0.078947,0.011862,-0.000381,-0.000410,0.000095,0.000025,-0.000013,-1.489383,0.163584,0.022892,-0.000913,-0.000329,0.000090,0.000011,-0.000008,0.220002,0.000002,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-2.770447,-0.057470,0.009321,-0.001009,-0.000000,0.000018,-0.000014,0.000003,-1.304056,0.205771,0.019072,-0.001393,0.000004,0.000012,-0.000010,0.000002,0.220003,0.000002,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-2.819599,-0.041830,0.006329,-0.000995,-0.000003,-0.000003,0.000002,-0.000000,-1.080598,0.239766,0.014934,-0.001373,-0.000000,-0.000002,0.000001,-0.000000,0.220005,0.000001,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-2.856098,-0.032174,0.003316,-0.001014,-0.000005,0.000000,-0.000000,0.000000,-0.827272,0.265510,0.010807,-0.001378,-0.000001,0.000001,-0.000000,0.000000,0.220005,0.000001,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-2.885976,-0.028603,0.000246,-0.001032,-0.000004,0.000000,-0.000000,0.000000,-0.552334,0.282986,0.006668,-0.001381,-0.000001,0.000000,-0.000000,0.000000,0.220006,0.000001,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-2.915369,-0.031222,-0.002872,-0.001046,-0.000002,-0.000002,0.000003,-0.000001,-0.264061,0.292178,0.002522,-0.001383,-0.000001,0.000000,-0.000001,0.000000,0.220007,0.000001,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-2.950511,-0.040114,-0.006023,-0.001054,-0.000006,0.000013,-0.000024,0.000008,0.029255,0.293070,-0.001632,-0.001386,0.000000,-0.000002,0.000004,-0.000001,0.220008,0.000001,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-2.997711,-0.055369,-0.009283,-0.001145,-0.000017,-0.000049,0.000152,-0.000030,0.319306,0.285650,-0.005781,-0.001376,0.000001,0.000009,-0.000026,0.000006,0.220009,0.000001,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-3.063450,-0.076976,-0.011651,0.000297,0.000974,-0.000233,-0.000017,0.000020,0.597789,0.269893,-0.010085,-0.001606,-0.000148,0.000030,0.000023,-0.000008,0.220009,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-3.151036,-0.096614,-0.007069,0.002242,0.000272,-0.000118,0.000022,-0.000001,0.855889,0.244548,-0.015308,-0.001710,0.000073,-0.000012,-0.000008,0.000003,0.220009,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-3.252302,-0.103401,0.000426,0.002569,-0.000009,-0.000004,0.000005,-0.000002,1.083474,0.209007,-0.020178,-0.001593,-0.000001,-0.000002,0.000002,0.000000,0.220008,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-3.352718,-0.094883,0.008072,0.002525,-0.000020,0.000019,-0.000019,0.000014,1.270710,0.163872,-0.024947,-0.001570,0.000024,-0.000020,0.000019,-0.000017,0.220008,-0.000002,-0.000001,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-3.437010,-0.071161,0.015735,0.002757,0.000290,-0.000136,0.000312,-0.000226,1.408071,0.109261,-0.029779,-0.001877,-0.000373,0.000160,-0.000376,0.000284,0.220005,-0.000004,-0.000001,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-3.489439,-0.030647,0.024330,0.000902,-0.003608,0.000032,-0.004545,0.002975,1.485370,0.043108,-0.035734,0.000635,0.004711,0.000023,0.005720,-0.003832,0.220001,-0.000003,0.000002,0.000001,-0.000000,0.000000,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
